manual_match,company_type,page_handle,page_name,company_name,company_id,company_status_date,days_from_company_status_to_now,bigrams_intersection,times_prosecutor,times_defendant,times_unknown_appearences,companies_general_info_columns,changed_picture,has_website,has_top_20_website,phone,has_phone,email,has_email,number_of_likes,has_more_than_100_likes,has_more_than_10_likes,has_more_than_1_likes,checkins,were_here_count,talking_about_count,changed_cover,has_location,has_country,has_state,has_country_state,has_country_state_city,has_country_or_state_or_city,is_unclaimed,is_published,is_verified,is_permanently_closed,is_community_page,start_info,has_start_info,has_text,description_length,description_words,about_length,about_words,products_length,products_words,general_info_length,general_info_words,category,category_list,number_of_records,number_of_pages,companies_events_columns,first_event_time,last_event_time,number_of_different_months_with_events,total_events,total_attending,min_attending_per_event,max_attending_per_event,avg_attending_per_event,total_maybe,min_maybe_per_event,max_maybe_per_event,avg_maybe_per_event,total_noreply,min_noreply_per_event,max_noreply_per_event,avg_noreply_per_event,total_interested,min_interested_per_event,max_interested_per_event,avg_interested_per_event,total_declined,min_declined_per_post,max_declined_per_post,avg_declined_per_post,companies_photos,first_photo_time,last_photo_time,number_of_different_photo_uploaders,number_of_photos_self_tagged,number_of_photos_with_tagged_people_without_self,total_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos,min_number_of_people_tagged_in_photos,max_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos_when_more_than_zero,number_of_different_months_for_photos,total_photos,number_of_albums,number_of_normal_albums,number_of_wall_albums,number_of_mobile_albums,number_of_cover_albums,number_of_profile_albums,number_of_app_albums,number_of_null_albums,number_of_photos_in_normal_albums,number_of_photos_in_wall_albums,number_of_photos_in_mobile_albums,number_of_photos_in_cover_albums,number_of_photos_in_profile_albums,number_of_photos_in_app_albums,number_of_photos_in_null_albums,number_of_photos_1qr_before_status,number_of_photos_2qr_before_status,number_of_photos_3qr_before_status,number_of_photos_4qr_before_status,number_of_photos_6months_before_status,number_of_photos_12months_before_status,companies_posts_columns,companies_posts_calculation_date,days_from_last_post_to_now,days_from_last_post_to_company_status,first_post_time,last_post_time,number_of_different_months_with_posts,total_posts,total_user_changed_post_time,total_posts_with_photos,total_posts_with_photos_more_than_5_comments,total_posts_with_photos_less_than_5_comments,total_posts_with_photos_more_than_5_likes,total_posts_with_photos_less_than_5_likes,total_posts_with_link,total_posts_with_link_more_than_5_comments,total_posts_with_link_less_than_5_comments,total_posts_with_link_more_than_5_likes,total_posts_with_link_less_than_5_likes,total_user_posts,total_user_posts_more_than_5_comments,total_user_posts_less_than_5_comments,total_user_posts_more_than_5_likes,total_user_posts_less_than_5_likes,total_comments_to_user_posts,min_comments_per_user_posts,max_comments_per_user_posts,avg_comments_per_user_posts,total_likes_to_user_posts,min_likes_per_user_posts,max_likes_per_user_posts,avg_likes_per_user_posts,total_other_users_posts,total_other_users_posts_more_than_5_comments,total_other_users_posts_less_than_5_comments,total_other_users_posts_more_than_5_likes,total_other_users_posts_less_than_5_likes,total_comments_to_other_users_posts,min_comments_per_other_users_post,max_comments_per_other_users_post,avg_comments_per_other_users_post,total_likes_to_other_users_posts,min_likes_per_other_users_post,max_likes_per_other_users_post,avg_likes_per_other_users_post,companies_posts_comments_new_columns,first_time_of_post_with_comment,last_time_of_post_with_comment,number_of_different_months_with_comments,total_posts_with_comments,distinct_commentators,distinct_commentators_1qr_months_before_status,distinct_commentators_2qr_months_before_status,distinct_commentators_3qr_months_before_status,distinct_commentators_4qr_months_before_status,distinct_commentators_6months_before_status,distinct_commentators_12months_before_status,distinct_commentators_6months_after_status,companies_posts_reactions_columns,first_post_with_reaction_time,last_post_with_reaction_time,number_of_different_months_with_reactions,total_posts_with_reactions,distinct_interacting_users,distinct_interacting_users_1qr_before_status,distinct_interacting_users_2qr_before_status,distinct_interacting_users_3qr_before_status,distinct_interacting_users_4qr_before_status,distinct_interacting_users_6months_before_status,distinct_interacting_users_12months_before_status,distinct_interacting_users_6months_after_status
,rasham,1053721201350851,ביג אפל פיצה גילה BIG apple pizza,"ביג אפל פיצה גילה בע""מ",515388213,2016-06-26,0,16,0,0,0,companies_general_info_columns,1,0,0,26458585,TRUE,,0,42,0,1,1,0,0,1,1,1,1,0,0,0,1,no,,no,no,,,0,1,,,87,12,,,,,Restaurant/Cafe,Restaurant,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-04-06,2016-05-31,1,0,0,0,0,0,0,,2,8,3,0,1,0,1,1,0,0,0,6,0,1,1,0,0,8,0,0,0,8,8,companies_posts_columns,2016-06-26,26,26,2016-04-06,2016-05-31,2,6,0,6,0,6,1,5,6,0,6,1,5,6,0,6,1,5,0,0,0,0,16,0,9,2.666666667,6,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2016-04-06,2016-05-31,6,6,11,11,0,0,0,11,11,0
,rasham,1074835799223707,שום הפקות,"שום הפקות בע""מ",514764315,2016-06-26,0,0,0,0,0,companies_general_info_columns,0,0,0,525444740,TRUE,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,no,,no,no,,,0,0,,,,,,,,,Professional Services,Professional Services,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-26,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,forceliquidated,171830506290183,ג'אגלינג עם חן מרגלית,"מרגלית חן (1991) בע""מ",511597437,1995-12-08,7506,15,0,0,0,companies_general_info_columns,1,1,1,054-3062656,TRUE,,0,261,1,1,1,0,0,3,1,1,1,0,0,0,1,no,,no,no,,,0,1,,,64,6,,,,,Arts/Entertainment/Nightlife,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2012-11-07,2016-03-21,1,14,31,55,0.1735015773,0,4,1.41025641,19,317,8,5,1,0,1,1,0,0,52,257,0,4,4,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,66,-7440,2012-11-25,2016-04-21,26,70,33,69,5,64,48,21,70,5,65,49,21,62,5,57,46,16,76,0,10,1.085714286,664,0,51,9.485714286,62,0,8,3,5,7,0,2,0.1,27,0,7,0.3857142857,companies_posts_comments_columns,2013-07-19,2016-04-21,17,31,41,0,0,0,0,0,0,0,companies_posts_reactions_columns,2012-11-25,2016-04-21,63,70,180,0,0,0,0,0,0,0
,rasham,1039025946147486,א.ל.ה ייעוץ ויזמות נדל''ן,"ד. ברק ייעוץ בע""מ",514597921,2016-06-26,0,19,0,0,0,companies_general_info_columns,1,1,1,35176333,TRUE,,0,39,0,1,1,0,0,0,1,1,1,0,0,0,1,no,,no,no,,,0,0,,,,,,,,,Real Estate,Real Estate,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-11-19,2016-03-13,1,0,0,0,0,0,0,,4,4,3,0,1,0,1,1,0,0,0,2,0,1,1,0,0,0,2,2,0,2,4,companies_posts_columns,2016-06-26,105,105,2015-11-19,2016-03-13,4,6,1,5,0,5,2,3,5,0,5,2,3,6,0,6,3,3,0,0,0,0,23,1,8,3.833333333,6,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2015-11-19,2016-03-13,5,6,17,0,11,7,0,11,17,7
,forceliquidated,528888760547717,טיולי הכרמים-سفريات الكروم,"טיולי הכרמים בע""מ",511825713,2014-01-29,879,13,0,13,2,companies_general_info_columns,1,0,0,0522266339-0543967327,TRUE,,0,130,1,1,1,0,0,0,1,1,0,0,0,0,0,no,,no,no,,1992-12-15,1,1,,,40,6,,,,,Company,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2014-12-15,2015-03-10,1,0,0,0,0,0,0,,2,8,4,0,1,1,1,1,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,474,-405,1992-12-15,2015-03-10,3,5,0,0,0,0,0,0,5,0,5,4,1,5,0,5,4,1,0,0,0,0,39,0,12,7.8,5,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,1992-12-15,2015-03-10,5,5,0,0,0,0,0,0,0,0
,forceliquidated,1.66644E+15,נקודה טובה - רפואה סינית בנתניה,"רפואה טובה בע""מ",513166454,2005-04-08,4097,21,0,0,0,companies_general_info_columns,1,0,0,526436849,TRUE,,0,251,1,1,1,9,9,17,1,1,1,0,0,0,1,no,,no,no,,,0,1,586,91,116,18,,,,,Health/Medical/Pharmacy,Medical & Health,1994,1908,companies_events_columns,2016-04-03,2016-04-03,1,1,11,11,11,11,4,4,4,4,778,778,778,778,4,4,4,4,0,0,0,0,companies_photos,2015-11-29,2016-06-16,1,0,1,5,0.08064516129,0,5,5,8,62,4,0,1,1,1,1,0,0,0,17,39,5,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,20,-4077,2015-11-29,2016-06-06,8,40,13,38,2,36,26,12,38,2,36,26,12,39,2,37,27,12,31,0,8,0.775,377,0,41,9.425,39,0,1,1,0,0,0,0,0,22,0,22,0.55,companies_posts_comments_columns,2015-11-29,2016-05-22,7,11,23,0,0,0,0,0,0,0,companies_posts_reactions_columns,2015-11-29,2016-06-06,39,40,178,0,0,0,0,0,0,0
,rasham,1003385946364838,Hagit Goren Photography חגית גורן - צילום מוצר,"חגית גורן בע""מ",511608283,2016-06-26,0,35,0,0,0,companies_general_info_columns,1,1,1, 054-4436270,TRUE,,0,141,1,1,1,0,0,13,1,1,1,0,0,0,1,no,,no,no,,,0,1,,,69,14,,,,,Photographer,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-04-16,2016-06-01,1,0,0,0,0,0,0,,3,24,4,1,1,0,1,1,0,0,4,17,0,2,1,0,0,24,0,0,0,24,24,companies_posts_columns,2016-06-26,25,25,2016-04-16,2016-06-01,3,21,6,21,0,21,8,13,21,0,21,8,13,21,0,21,8,13,4,0,1,0.1904761905,88,0,12,4.19047619,21,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2016-04-20,2016-06-01,3,4,4,4,0,0,0,4,4,0,companies_posts_reactions_columns,2016-04-16,2016-06-01,18,21,35,35,0,0,0,35,35,0
,rasham,1039025946147486,א.ל.ה ייעוץ ויזמות נדל''ן,"ב.ה.ס נדל""ן בע""מ",514910231,2016-06-26,0,18,0,0,0,companies_general_info_columns,1,1,1,35176333,TRUE,,0,39,0,1,1,0,0,0,1,1,1,0,0,0,1,no,,no,no,,,0,0,,,,,,,,,Real Estate,Real Estate,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-11-19,2016-03-13,1,0,0,0,0,0,0,,4,4,3,0,1,0,1,1,0,0,0,2,0,1,1,0,0,0,2,2,0,2,4,companies_posts_columns,2016-06-26,105,105,2015-11-19,2016-03-13,4,6,1,5,0,5,2,3,5,0,5,2,3,6,0,6,3,3,0,0,0,0,23,1,8,3.833333333,6,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2015-11-19,2016-03-13,5,6,17,0,11,7,0,11,17,7
,rasham,1040949689259354,המרכז לאספקה טכנית ש.י,"המרכז לאספקה טכנית ש.י. 2004 בע""מ",513621276,2016-06-26,0,1,0,0,5,companies_general_info_columns,1,1,1,04-8401020,TRUE,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,no,,no,no,,,0,0,,,,,,,,,Professional Services,"Outdoors,Professional Services",1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-12-19,2015-12-20,1,0,0,0,0,0,0,,1,5,3,0,1,0,1,1,0,0,0,3,0,1,1,0,0,0,0,5,0,0,5,companies_posts_columns,2016-06-26,189,189,2015-12-19,2015-12-20,1,3,0,3,0,3,0,3,3,0,3,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2015-12-19,2015-12-20,2,3,0,0,0,0,0,0,0,0
,rasham,105748186146879,"קורינט- מפעל משלב לייצור שוקולד בעבודת יד קבוצת ""שכולו טוב"" ושרון אפלר יניב","קבוצת יניב בע""מ",513577825,2016-06-26,0,64,0,1,2,companies_general_info_columns,1,0,0,86650365,TRUE,,0,316,1,1,1,0,0,0,0,1,1,0,0,0,1,no,,no,no,,,0,1,671,107,46,7,,,150,17,Community,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2010-07-25,2012-03-06,1,0,0,0,0,0,0,,3,38,5,3,1,0,0,1,0,0,33,1,0,0,4,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,25,25,2010-07-25,2016-06-01,21,49,11,11,0,11,5,6,12,0,12,5,7,30,0,30,12,18,14,0,2,0.2857142857,155,0,23,3.163265306,30,0,19,0,19,1,0,1,0.02040816327,7,0,3,0.1428571429,companies_posts_comments_columns,2010-10-01,2012-03-25,4,9,10,0,0,0,0,0,0,10,companies_posts_reactions_columns,2010-07-25,2016-06-01,42,49,59,0,0,0,0,0,0,59
,forceliquidated,510167969079369,סרג'ם ישראל - Ceragem Israel,"סרגם ישראל בע""מ",513719997,2013-04-09,1174,16,0,41,3,companies_general_info_columns,1,1,1,1599-55-00-09,TRUE,,0,6196,1,1,1,0,0,16,1,0,0,0,0,0,0,no,,no,no,,,0,1,,,87,9,,,,,Health/Beauty,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2013-10-14,2016-06-22,1,0,7,11,0.02964959569,0,2,1.571428571,33,371,4,1,1,0,1,1,0,0,27,317,0,24,3,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,11,-1163,2013-10-14,2016-06-15,33,567,221,539,21,518,481,58,542,21,521,483,59,535,21,514,484,51,431,0,30,0.7601410935,14203,0,200,25.04938272,535,1,31,1,31,26,0,5,0.04585537919,54,0,6,0.09523809524,companies_posts_comments_columns,2013-11-03,2016-05-25,26,193,228,0,0,0,0,0,0,0,companies_posts_reactions_columns,2013-10-14,2016-06-15,548,567,4605,0,0,0,0,0,0,0
,rasham,1005399796148947,פייטקס בדים ורהיטים,"פייטק בע""מ",514624212,2016-06-26,0,14,0,0,0,companies_general_info_columns,1,0,0,542533315,TRUE,,0,718,1,1,1,0,0,0,1,1,1,0,0,0,1,no,,no,no,,,0,0,,,,,,,,,Local Business,Local Business,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-09-22,2015-09-22,1,0,0,0,0,0,0,,1,2,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,companies_posts_columns,2016-06-26,278,278,2015-09-22,2015-09-22,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2015-09-22,2015-09-22,1,1,0,0,0,0,0,0,0,0
,rasham,1040973102588211,סאנשיין קוסמטיקס- קניון חולון,"סאנשיין קוסמטיקס בע""מ",514766567,2016-06-26,0,12,0,0,0,companies_general_info_columns,1,1,1,549906060,TRUE,,0,635,1,1,1,3,3,2,1,1,1,0,0,0,1,no,,no,no,,,0,1,,,113,17,12,2,,,Health/Beauty,Health/Beauty,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-07-27,2016-06-06,1,0,1,1,0.01265822785,0,1,1,11,79,4,0,1,1,1,1,0,0,0,36,39,2,2,0,0,4,36,8,31,40,79,companies_posts_columns,2016-06-26,20,20,2015-07-27,2016-06-06,11,56,9,56,0,56,4,52,56,0,56,4,52,56,0,56,4,52,6,0,2,0.1071428571,155,0,97,2.767857143,56,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2015-07-30,2016-02-11,4,5,6,0,1,0,5,1,6,5,companies_posts_reactions_columns,2015-07-27,2016-06-06,53,56,131,1,2,10,122,3,131,128
,forceliquidated,381913338549701,סורגים עם ענת טל,"טל-סורג בע""מ",512287400,2011-12-08,1662,14,0,1,0,companies_general_info_columns,1,0,0,,FALSE,,0,2837,1,1,1,0,0,99,1,0,0,0,0,0,0,no,,no,no,,,0,1,140,18,73,8,678,102,,,Clothing,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2012-10-31,2016-06-23,1,0,13,13,0.006451612903,0,1,1,45,2015,4,0,1,1,1,1,0,0,0,337,1671,4,3,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,11,-1651,2012-10-31,2016-06-15,45,1357,923,1259,364,895,1162,97,1262,364,898,1164,98,1246,366,880,1171,75,4668,0,95,3.439941046,31061,0,164,22.88946205,1246,8,103,17,94,190,0,16,0.1400147384,356,0,52,0.2623434046,companies_posts_comments_columns,2012-10-31,2016-06-02,45,893,812,0,0,0,0,0,0,0,companies_posts_reactions_columns,2012-10-31,2016-06-15,1113,1357,2752,0,0,0,0,0,0,0
,rasham,1001681379846992,"דורון טכנולוגיות אב""כ","דורון טכנולוגיות אב""כ בע""מ",514954270,2016-06-26,0,0,0,0,0,companies_general_info_columns,1,1,1,077-4314661,TRUE,,0,431,1,1,1,0,0,83,1,1,0,0,0,0,1,no,,no,no,,,0,1,543,81,145,23,,,,,Engineering/Construction,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2014-11-19,2016-06-08,1,0,5,6,0.25,0,2,1.2,10,24,4,0,1,1,1,1,0,0,0,10,7,4,3,0,0,8,5,0,1,13,14,companies_posts_columns,2016-06-26,18,18,2014-11-19,2016-06-08,12,29,9,23,1,22,18,5,24,1,23,19,5,27,1,26,20,7,15,0,9,0.5172413793,786,0,200,27.10344828,27,0,2,0,2,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2015-03-30,2016-05-09,5,6,14,2,1,0,1,3,4,11,companies_posts_reactions_columns,2014-11-19,2016-06-08,25,29,859,16,610,0,230,617,817,282
,rasham,1066041750123544,"אמסילי מבנים והנדסה בע""מ","אמסילי מבנים והנדסה בע""מ",511586273,2016-06-26,0,0,0,0,1,companies_general_info_columns,1,1,1,505501308,TRUE,,0,175,1,1,1,0,0,1,1,1,1,0,0,0,1,no,,no,no,,,0,1,911,143,89,13,,,,,Engineering/Construction,Engineering/Construction,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-04-13,2016-04-13,1,0,0,0,0,0,0,,1,2,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,2,2,companies_posts_columns,2016-06-26,74,74,2016-04-13,2016-04-13,1,4,2,4,0,4,2,2,4,0,4,2,2,4,0,4,2,2,2,0,1,0.5,21,3,9,5.25,4,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2016-04-13,2016-04-13,1,2,2,2,0,0,0,2,2,0,companies_posts_reactions_columns,2016-04-13,2016-04-13,4,4,15,15,0,0,0,15,15,0
1,forceliquidated,178286472308629,סטון ביי סטון,"סטון ביי סטון בע""מ",513486548,2010-06-07,2211,0,0,0,0,companies_general_info_columns,1,1,1,,FALSE,,0,22,0,1,1,0,0,0,0,0,0,0,0,0,0,no,,no,no,,,0,1,,,24,4,,,,,Community,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2012-09-25,2012-09-25,1,0,0,0,0,0,0,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,422,-1789,2012-09-25,2015-05-01,3,3,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0.3333333333,2,0,2,0.6666666667,1,0,2,0,2,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2012-09-25,2012-09-25,1,1,1,0,0,0,0,0,0,0,companies_posts_reactions_columns,2012-09-25,2015-05-01,3,3,2,0,0,0,0,0,0,0
,rasham,1.03503E+15,משתלת ורדים קרן צור,"בית לחם ק.ר.ן בע""מ ",514447127,2016-06-26,0,14,0,0,0,companies_general_info_columns,1,1,1,04-9835171,TRUE,,0,2008,1,1,1,156,156,99,1,1,1,0,0,0,1,no,,no,no,,,0,1,1028,159,121,18,,,,,Shopping/Retail,Garden Center,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-02-16,2016-06-23,1,0,0,0,0,0,0,,17,231,5,1,1,1,1,1,0,0,3,182,39,5,2,0,0,31,25,34,29,56,121,companies_posts_columns,2016-06-26,12,12,2015-02-16,2016-06-14,17,456,215,447,35,412,274,173,447,35,412,274,173,260,35,225,248,12,512,0,18,1.122807018,6034,0,87,13.23245614,260,0,196,27,169,58,0,3,0.1271929825,392,0,13,0.8596491228,companies_posts_comments_columns,2015-02-16,2016-06-08,17,184,153,44,36,55,31,71,123,112,companies_posts_reactions_columns,2015-02-16,2016-06-14,304,456,921,268,302,308,201,432,661,698
,rasham,1087033461311196,דר' אידלמן יצחק מרפאת שיניים,"יצחק אידלמן בע""מ",513713263,2016-06-26,0,21,0,0,0,companies_general_info_columns,1,1,1,03-6310749,TRUE,,0,559,1,1,1,13,13,53,1,1,1,0,0,0,1,no,,no,no,,1991-01-01,1,1,931,142,48,6,,,,,Doctor,"Dentist,Aesthetics,Doctor",1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-05-26,2016-06-11,1,1,4,5,0.05813953488,0,1,1,14,86,5,1,1,1,1,1,0,0,1,65,8,3,9,0,0,14,23,17,24,38,80,companies_posts_columns,2016-06-26,15,15,2015-05-26,2016-06-11,14,107,43,107,11,96,77,30,107,11,96,77,30,107,11,96,77,30,152,0,16,1.420560748,2351,0,132,21.97196262,107,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2015-07-13,2016-05-14,10,41,76,33,35,33,4,55,76,35,companies_posts_reactions_columns,2015-05-26,2016-06-11,99,107,832,222,369,342,82,477,831,503
1,forceliquidated,471602256191187,וינטר קלאב - Winter Club,"וינטר קלאב בע""מ",514592963,2015-03-20,464,12,0,0,1,companies_general_info_columns,1,1,1,972-2-540-21-22,TRUE,,0,4286,1,1,1,120,120,1,1,1,1,0,0,0,1,no,,no,no,,2006-08-01,1,1,2161,362,69,12,,,158,25,Tours/Sightseeing,"Vacation Home Rental,Recreation Center,Tourist Information",1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2013-09-18,2014-12-08,1,5,160,294,0.1642458101,0,18,1.803680982,16,1790,32,28,1,1,1,1,0,0,1323,367,62,16,22,0,0,0,66,275,330,67,676,companies_posts_columns,2016-06-26,566,102,2006-08-01,2014-12-08,40,427,127,423,21,402,316,107,423,21,402,316,107,421,21,400,314,107,368,0,30,0.8618266979,5264,0,94,12.32786885,421,1,5,4,2,17,0,11,0.03981264637,195,0,164,0.4566744731,companies_posts_comments_columns,2009-11-28,2014-12-08,16,106,119,0,17,48,60,17,107,110,companies_posts_reactions_columns,2006-08-01,2014-12-08,405,427,780,0,93,384,363,93,654,762
,forceliquidated,1445688802403692,גיל-קאר סוכנויות,"גיל סוכנויות בע""מ",510569999,1989-02-03,10005,3,0,5,0,companies_general_info_columns,1,1,1,97744920,TRUE,,0,758,1,1,1,31,31,7,1,1,1,0,0,0,1,no,,no,no,,,0,0,,,,,,,,,Transportation,Car Dealership,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-07-01,2016-06-05,1,0,0,0,0,0,0,,12,359,4,0,1,1,1,1,0,0,0,256,100,2,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,21,-9984,2015-06-07,2016-06-05,13,175,26,172,1,171,11,161,172,1,171,11,161,175,1,174,11,164,32,0,5,0.1828571429,283,0,9,1.617142857,175,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,2015-07-01,2016-05-24,9,20,23,0,0,0,0,0,0,0,companies_posts_reactions_columns,2015-06-07,2016-06-05,68,175,60,0,0,0,0,0,0,0
,rasham,104855029606629,"כשאש למסחר ושיווק בע""מ","כשאש למסחר בע""מ ",514033026,2016-06-26,0,7,0,0,0,companies_general_info_columns,0,0,0,,FALSE,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,no,,no,no,,,0,0,,,,,,,,,Local Business,,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-26,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,rasham,108564782641736,"אקו גלוב בע""מ","אקו גלוב בע""מ",514520527,2016-06-26,0,0,0,0,0,companies_general_info_columns,1,0,0,09-766-1555,TRUE,,0,24,0,1,1,0,0,0,1,1,1,0,0,0,1,no,,no,no,,,0,1,422,66,21,3,,,,,Business Services,Business Services,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2012-11-19,2012-11-19,1,0,0,0,0,0,0,,1,2,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-26,903,903,2012-11-19,2014-01-05,2,2,0,2,0,2,0,2,2,0,2,0,2,1,0,1,0,1,0,0,0,0,1,0,1,0.5,1,0,1,0,1,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2012-11-19,2014-01-05,2,2,1,0,0,0,0,0,0,1
,rasham,1045993125464054,פיצה בום pizza Boom,"פיצה בום בום בע""מ",512155912,2016-06-26,0,10,0,0,0,companies_general_info_columns,1,0,0,775008404,TRUE,,0,47,0,1,1,1,1,2,1,1,1,0,0,0,1,no,,no,no,,,0,0,,,,,,,,,Food/Grocery,Food/Grocery,1994,1908,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-03-04,2016-04-30,1,0,0,0,0,0,0,,2,52,4,0,1,1,1,1,0,0,0,7,38,4,3,0,0,15,37,0,0,52,52,companies_posts_columns,2016-06-26,39,39,2016-03-04,2016-05-18,3,24,6,24,1,23,13,11,24,1,23,13,11,23,0,23,12,11,6,0,3,0.25,105,0,10,4.375,23,1,0,1,0,10,0,10,0.4166666667,41,0,41,1.708333333,companies_posts_comments_columns,2016-03-09,2016-05-18,3,4,13,11,4,0,0,13,13,0,companies_posts_reactions_columns,2016-03-04,2016-05-18,19,24,60,54,17,0,0,60,60,0
