is_match,company_type,page_handle,page_name,company_name,company_id,company_status_date,days_from_company_status_to_now,bigrams_intersection,times_prosecutor,times_defendant,times_unknown_appearences,companies_general_info_columns,changed_picture,has_website,has_top_20_website,phone,has_phone,email,has_email,number_of_likes,has_more_than_100_likes,has_more_than_10_likes,has_more_than_1_likes,checkins,were_here_count,talking_about_count,changed_cover,has_location,has_country,has_state,has_country_state,has_country_state_city,has_country_or_state_or_city,is_unclaimed,is_published,is_verified,is_permanently_closed,is_community_page,start_info,has_start_info,has_text,description_length,description_words,about_length,about_words,products_length,products_words,general_info_length,general_info_words,category,category_list,number_of_records,number_of_pages,companies_events_columns,first_event_time,last_event_time,number_of_different_months_with_events,total_events,total_attending,min_attending_per_event,max_attending_per_event,avg_attending_per_event,total_maybe,min_maybe_per_event,max_maybe_per_event,avg_maybe_per_event,total_noreply,min_noreply_per_event,max_noreply_per_event,avg_noreply_per_event,total_interested,min_interested_per_event,max_interested_per_event,avg_interested_per_event,total_declined,min_declined_per_post,max_declined_per_post,avg_declined_per_post,companies_photos,first_photo_time,last_photo_time,number_of_different_photo_uploaders,number_of_photos_self_tagged,number_of_photos_with_tagged_people_without_self,total_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos,min_number_of_people_tagged_in_photos,max_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos_when_more_than_zero,number_of_different_months_for_photos,total_photos,number_of_albums,number_of_normal_albums,number_of_wall_albums,number_of_mobile_albums,number_of_cover_albums,number_of_profile_albums,number_of_app_albums,number_of_null_albums,number_of_photos_in_normal_albums,number_of_photos_in_wall_albums,number_of_photos_in_mobile_albums,number_of_photos_in_cover_albums,number_of_photos_in_profile_albums,number_of_photos_in_app_albums,number_of_photos_in_null_albums,number_of_photos_1qr_before_status,number_of_photos_2qr_before_status,number_of_photos_3qr_before_status,number_of_photos_4qr_before_status,number_of_photos_6months_before_status,number_of_photos_12months_before_status,companies_posts_columns,companies_posts_calculation_date,days_from_last_post_to_now,days_from_last_post_to_company_status,first_post_time,last_post_time,number_of_different_months_with_posts,total_posts,total_user_changed_post_time,total_posts_with_photos,total_posts_with_photos_more_than_5_comments,total_posts_with_photos_less_than_5_comments,total_posts_with_photos_more_than_5_likes,total_posts_with_photos_less_than_5_likes,total_posts_with_link,total_posts_with_link_more_than_5_comments,total_posts_with_link_less_than_5_comments,total_posts_with_link_more_than_5_likes,total_posts_with_link_less_than_5_likes,total_user_posts,total_user_posts_more_than_5_comments,total_user_posts_less_than_5_comments,total_user_posts_more_than_5_likes,total_user_posts_less_than_5_likes,total_comments_to_user_posts,min_comments_per_user_posts,max_comments_per_user_posts,avg_comments_per_user_posts,total_likes_to_user_posts,min_likes_per_user_posts,max_likes_per_user_posts,avg_likes_per_user_posts,total_other_users_posts,total_other_users_posts_more_than_5_comments,total_other_users_posts_less_than_5_comments,total_other_users_posts_more_than_5_likes,total_other_users_posts_less_than_5_likes,total_comments_to_other_users_posts,min_comments_per_other_users_post,max_comments_per_other_users_post,avg_comments_per_other_users_post,total_likes_to_other_users_posts,min_likes_per_other_users_post,max_likes_per_other_users_post,avg_likes_per_other_users_post,companies_posts_comments_new_columns,first_time_of_post_with_comment,last_time_of_post_with_comment,number_of_different_months_with_comments,total_posts_with_comments,distinct_commentators,distinct_commentators_1qr_months_before_status,distinct_commentators_2qr_months_before_status,distinct_commentators_3qr_months_before_status,distinct_commentators_4qr_months_before_status,distinct_commentators_6months_before_status,distinct_commentators_12months_before_status,distinct_commentators_6months_after_status,companies_posts_reactions_columns,first_post_with_reaction_time,last_post_with_reaction_time,number_of_different_months_with_reactions,total_posts_with_reactions,distinct_interacting_users,distinct_interacting_users_1qr_before_status,distinct_interacting_users_2qr_before_status,distinct_interacting_users_3qr_before_status,distinct_interacting_users_4qr_before_status,distinct_interacting_users_6months_before_status,distinct_interacting_users_12months_before_status,distinct_interacting_users_6months_after_status
"",liquidated,138198776203654,בנימינה ספיריטס - זירת האלכוהול של ישראל,"בנימינה ספיריטס בע""מ",511975120,2015-09-03,299,23,0,0,0,companies_general_info_columns,1,1,1,,0,,0,1561,1,1,1,0,0,1,1,0,0,0,0,0,0,false,,false,false,,2010-05-01 00:00:00,1,1,,,43,7,99,9,,,Company,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2010-07-19 09:59:20,2013-01-31 15:05:40,1,0,111,155,0.07598039215686274,0,4,1.3963963963963963,31,2040,43,39,1,0,1,1,1,0,1808,217,0,3,4,8,0,0,0,0,0,0,0,companies_posts_columns,2016-06-28 14:24:27.622,155,-144,2010-05-01 07:00:00,2016-01-25 12:54:56,37,509,184,419,16,403,87,332,428,16,412,88,340,484,23,461,95,389,553,0,54,1.0864440078585462,1389,0,32,2.7288801571709236,484,0,25,1,24,12,0,3,0.023575638506876228,24,0,5,0.047151277013752456,companies_posts_comments_columns,2010-07-22 11:22:42,2013-01-27 18:00:01,29,176,209,0,0,0,0,0,0,0,companies_posts_reactions_columns,2010-05-01 07:00:00,2016-01-25 12:54:56,497,509,311,0,0,0,0,0,0,0
"",closed,1382221368766019,Battlefield Hardline Israel - באטלפילד הארדליין ישראל,"הארדל בע""מ",512385626,2016-06-28,0,46,0,0,0,companies_general_info_columns,1,1,1,,0,,0,123,1,1,1,0,0,0,1,0,0,0,0,0,0,false,,false,false,,2015-03-17 00:00:00,1,1,868,137,152,24,,,,,Community,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-04-15 17:25:59,2015-06-02 09:37:02,1,0,0,0,0.0,0,0,,3,9,4,0,1,1,1,1,0,0,0,1,6,1,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-28 14:24:27.622,46,46,2015-04-15 17:26:01,2016-05-13 13:49:15,9,30,8,21,0,21,0,21,21,0,21,0,21,20,1,19,1,19,24,0,22,0.8,27,0,5,0.9,20,0,10,0,10,4,0,2,0.13333333333333333,3,0,1,0.1,companies_posts_comments_columns,2015-05-14 21:20:16,2016-05-08 18:03:51,3,6,22,1,0,0,2,1,2,0,companies_posts_reactions_columns,2015-04-15 17:26:01,2016-05-13 13:49:15,26,30,14,1,0,0,1,1,1,0
"",closed,1382930715367973,Bridge to Terabithia (novel),"טרבית בע""מ",510511835,2016-06-28,0,28,0,0,0,companies_general_info_columns,1,0,0,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,true,,false,false,,,0,1,826,137,,,,,,,Book,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",closed,1384189921816651,אשל אינסטלציה - בהנהלת שרון אלקלעי,"שרון אינסטלציה בע""מ",511415630,2016-06-28,0,23,0,0,0,companies_general_info_columns,1,0,0,050-5319873,1,,0,21,0,1,1,0,0,0,1,1,0,0,0,0,1,false,,false,false,,1991-10-03 00:00:00,1,1,,,69,12,,,,,Company,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2014-01-01 15:20:37,2014-01-01 16:08:06,1,0,0,0,0.0,0,0,,1,5,4,1,1,0,1,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-28 14:24:27.622,285,285,1991-10-03 07:00:00,2015-09-17 17:54:19,5,14,1,5,0,5,1,4,5,0,5,1,4,9,0,9,0,9,0,0,0,0.0,4,0,2,0.2857142857142857,9,0,5,1,4,2,0,2,0.14285714285714285,12,0,12,0.8571428571428571,companies_posts_comments_columns,2015-09-17 17:54:19,2015-09-17 17:54:19,1,1,2,0,0,0,2,0,2,0,companies_posts_reactions_columns,1991-10-03 07:00:00,2015-09-17 17:54:19,8,14,15,0,0,0,12,0,12,0
"",rasham,105906009517707,"ברכבת לת״א ,חיייייייינם כפרעלינו בנות שירות לתפארת !!!","א.א.א. לתפארת בע""מ",514117118,2016-06-28,0,46,1,0,3,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,3,3,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",rasham,1059157530822752,"נזר ביטחון ש.ת בע""מ","נזר ביטחון ש.ת בע""מ",515277747,2016-06-28,0,0,0,0,0,companies_general_info_columns,1,1,1,050-3004480,1,,0,28,0,1,1,0,0,0,1,1,1,0,0,0,1,false,,false,false,,,0,1,735,112,97,15,,,,,Company,Company,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-04-05 21:06:46,2016-05-06 15:35:12,1,0,0,0,0.0,0,0,,2,3,3,0,1,0,1,1,0,0,0,1,0,1,1,0,0,3,0,0,0,3,3,companies_posts_columns,2016-06-28 14:24:27.622,53,53,2016-04-05 21:06:47,2016-05-06 15:35:12,2,4,0,4,0,4,2,2,4,0,4,2,2,4,0,4,2,2,0,0,0,0.0,17,3,5,4.25,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2016-04-05 21:06:47,2016-05-06 15:35:12,4,4,9,9,0,0,0,9,9,0
"",closed,105921586229422,"מוזיאון מן הכורסא -  הרצאות בנושאי אומנות - ד""ר מרגו סטרומזה אוזן","ר.ד. אומנות בע""מ",511267486,2016-06-28,0,52,0,0,0,companies_general_info_columns,1,1,1,,0,,0,98,0,1,1,0,0,0,1,0,0,0,0,0,0,false,,false,false,,2012-09-01 00:00:00,1,1,,,73,11,,,,,Education,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2012-09-21 15:51:09,2016-02-27 17:37:12,1,0,2,6,0.375,0,4,3.0,7,16,3,0,1,0,1,1,0,0,0,14,0,1,1,0,0,0,1,0,0,1,1,companies_posts_columns,2016-06-28 14:24:27.622,122,122,2012-09-21 15:51:11,2016-02-27 17:37:10,10,28,8,25,0,25,7,18,25,0,25,7,18,19,0,19,7,12,10,0,3,0.35714285714285715,76,0,10,2.7142857142857144,19,0,9,0,9,2,0,2,0.07142857142857142,6,0,4,0.21428571428571427,companies_posts_comments_columns,2012-09-21 15:51:11,2015-09-13 11:28:31,5,7,9,0,0,0,2,0,2,0,companies_posts_reactions_columns,2012-09-21 15:51:11,2016-02-27 17:37:10,24,28,40,0,4,2,4,6,10,0
1,rasham,105927879463276,א.א אור סוכנות לביטוח,"א.א. אור סוכנות לביטוח (2009) בע""מ",514350198,2016-06-28,0,1,0,0,0,companies_general_info_columns,1,1,1,09-7444111,1,,0,106,1,1,1,0,0,0,1,1,0,0,0,0,0,false,,false,false,,,0,1,276,37,27,5,,,71,13,Local Business,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2012-01-05 09:37:19,2014-01-26 11:58:53,1,0,0,0,0.0,0,0,,2,10,3,1,0,0,1,1,0,0,5,0,0,1,4,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-28 14:24:27.622,876,876,2012-01-05 10:24:59,2014-02-03 14:25:50,6,14,2,9,0,9,0,9,10,0,10,0,10,12,0,12,0,12,1,0,1,0.07142857142857142,6,0,2,0.42857142857142855,12,0,2,0,2,1,0,1,0.07142857142857142,0,0,0,0.0,companies_posts_comments_columns,2012-01-05 10:24:59,2013-02-15 22:45:17,2,2,1,0,0,0,0,0,0,0,companies_posts_reactions_columns,2012-01-05 10:24:59,2014-02-03 14:25:50,10,14,5,0,0,0,0,0,0,0
1,rasham,105943549488443,שמיל במעבדה,"שמיל במעבדה  בע""מ",513547398,2016-06-28,0,0,0,0,0,companies_general_info_columns,0,0,0,02-6731629,1,,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",rasham,106012009524711,אריק מעצבים- פרס נובל,"אריק מעצבים בע""מ",513615427,2016-06-28,0,9,0,2,0,companies_general_info_columns,0,0,0,,0,,0,4,0,0,1,12,12,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",rasham,106032406152373,"א.א.שרותי רכב עפולה בע""מ","א.א. שרותי רכב עפולה בע""מ",513421735,2016-06-28,0,1,0,1,0,companies_general_info_columns,1,0,0,04-6402404,1,,0,10,0,0,1,66,66,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Automotive,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",rasham,106037136188006,בבית משפחת מדווינסקי,"מדווינסקי בע""מ",513795310,2016-06-28,0,11,0,0,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,20,20,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",rasham,106046543082190,מזה קידס דרורים,"מזה דרורים בע""מ",514728716,2016-06-28,0,5,0,0,0,companies_general_info_columns,1,0,0,097969979,1,,0,41,0,1,1,1,1,0,1,1,1,0,0,0,1,false,,false,false,,,0,0,,,,,,,,,Shopping/Retail,Shoe Store,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2015-08-19 09:45:39,2016-03-31 19:21:26,1,0,0,0,0.0,0,0,,8,44,4,0,1,1,1,1,0,0,0,18,20,5,1,0,0,1,11,18,14,12,44,companies_posts_columns,2016-06-28 14:24:27.622,89,89,2015-08-19 09:45:40,2016-03-31 19:21:26,8,37,5,37,0,37,0,37,37,0,37,0,37,37,0,37,0,37,5,0,2,0.13513513513513514,75,0,4,2.027027027027027,37,0,0,0,0,0,0,0,0.0,0,0,0,0.0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2015-08-19 09:45:40,2016-03-31 19:21:26,30,37,7,0,0,1,7,0,7,0
"",liquidated,277159145724463,דוטה ל.. דודו טסה,"דוטה בע""מ",511965394,2012-02-02,1608,13,0,0,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,liquidated,279394388785903,פתרון בחסכון,"פתרון בחסכון בע""מ ",514696657,2013-08-16,1047,0,0,0,1,companies_general_info_columns,0,0,0,03-6055576,1,,0,3,0,0,1,2,2,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,forceliquidated,280651461961309,פנאי ירוק עיצוב גינות - Pny.co.il,"פנאי ירוק בע""מ",514641885,2013-07-24,1070,22,0,4,1,companies_general_info_columns,1,0,0,1-700-700-629,1,,0,1119,1,1,1,0,0,0,0,1,0,0,0,0,0,false,,false,false,,,0,1,,,66,10,,,,,Company,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2011-09-12 12:41:23,2012-03-02 16:29:12,1,0,0,0,0.0,0,0,,6,77,8,6,1,0,0,1,0,0,53,13,0,0,11,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-28 14:24:27.622,895,-175,2011-10-06 13:46:45,2014-01-15 15:46:26,13,44,9,30,0,30,1,29,31,0,31,2,29,38,0,38,2,36,4,0,1,0.09090909090909091,38,0,5,0.8636363636363636,38,0,6,0,6,0,0,0,0.0,1,0,1,0.022727272727272728,companies_posts_comments_columns,2011-10-10 10:06:41,2012-03-02 15:18:32,3,4,3,0,0,0,0,0,0,0,companies_posts_reactions_columns,2011-10-06 13:46:45,2014-01-15 15:46:26,29,44,17,0,0,0,1,0,1,0
"",liquidated,281453355307869,אבדימי דמין חיפה,"דמין בע""מ",513694935,2014-09-17,650,12,0,0,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Arts & Entertainment,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",forceliquidated,281810041924876,אליגד מוצרי אלומיניום | חלונות בלגיים | דלתות אלומניום | מורשה קליל,קליל מוצרי אלומיניום בעמ,510530157,2012-09-03,1394,49,0,1,3,companies_general_info_columns,1,1,1,97289445734,1,,0,175,1,1,1,0,0,1,1,1,0,0,0,0,0,false,,false,false,,1993-01-01 00:00:00,1,1,301,45,5,1,,,,,Home Improvement,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2012-09-20 10:43:15,2016-01-05 11:04:48,1,0,13,18,0.09183673469387756,0,3,1.3846153846153846,22,196,19,15,1,1,1,1,0,0,111,65,15,1,4,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-28 14:24:27.622,69,-1325,2012-09-20 10:46:09,2016-04-20 10:43:21,30,111,19,75,1,74,33,42,81,1,80,33,48,108,1,107,41,67,28,0,5,0.25225225225225223,500,0,30,4.504504504504505,108,0,3,0,3,0,0,0,0.0,3,0,2,0.02702702702702703,companies_posts_comments_columns,2012-09-23 10:36:02,2015-09-03 06:31:29,15,18,17,0,0,0,0,0,0,10,companies_posts_reactions_columns,2012-09-20 10:46:09,2016-04-20 10:43:21,94,111,94,0,0,0,0,0,0,50
"",forceliquidated,281993428507425,אלום לידר אלומיניום,"לידר אלומיניום בע""מ",513313825,2007-11-13,3150,5,0,0,0,companies_general_info_columns,1,0,0,0544581584,1,,0,9,0,0,1,0,0,1,1,1,1,0,0,0,1,false,,false,false,,,0,0,,,,,,,,,Professional Services,Professional Services,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2016-03-16 18:14:07,2016-05-29 16:54:32,1,0,0,0,0.0,0,0,,3,55,3,0,0,1,1,1,0,0,0,0,49,4,2,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-28 14:24:27.622,30,-3120,2011-11-08 18:58:12,2016-05-29 16:54:27,4,11,0,10,0,10,0,10,10,0,10,0,10,11,0,11,0,11,0,0,0,0.0,5,0,3,0.45454545454545453,11,0,0,0,0,0,0,0,0.0,0,0,0,0.0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2011-11-08 18:58:12,2016-05-29 16:54:27,7,11,5,0,0,0,0,0,0,0
"",forceliquidated,282384008452688,משרדי אייס אוטו דיפו.,"אייס אוטו דיפו בע""מ",511739294,2012-02-09,1601,7,6,10,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,5,5,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",forceliquidated,282384008452688,משרדי אייס אוטו דיפו.,"אייס אוטו דיפו בע""מ",511739294,2012-06-21,1468,7,10,12,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,5,5,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,forceliquidated,282553235110509,אופנה אורבנית מעצבים - Urban Fashion Designers,"אופנה אורבנית מעצבים בע""מ",514554138,2012-12-18,1288,24,0,0,0,companies_general_info_columns,1,0,0,,0,,0,158,1,1,1,0,0,0,0,0,0,0,0,0,0,false,,false,false,,,0,1,606,87,88,15,,,,,Clothing,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2011-10-30 11:11:15,2012-01-13 06:20:48,1,0,5,124,0.9538461538461539,0,47,24.8,4,130,17,15,1,0,0,1,0,0,116,9,0,0,5,0,0,0,0,0,13,0,13,companies_posts_columns,2016-06-28 14:24:27.622,1510,222,2011-11-10 17:00:10,2012-05-10 20:13:27,6,33,4,22,0,22,2,20,23,0,23,2,21,29,0,29,2,27,9,0,4,0.2727272727272727,40,0,7,1.2121212121212122,29,0,4,0,4,2,0,1,0.06060606060606061,0,0,0,0.0,companies_posts_comments_columns,2011-12-06 19:23:02,2012-01-13 06:25:46,2,5,5,0,0,0,2,0,2,0,companies_posts_reactions_columns,2011-11-10 17:00:10,2012-05-10 20:13:27,26,33,30,0,0,1,15,0,16,0
"",forceliquidated,284686311638842,תאילנד ינעל בודהה..:-),"בודהה ת""א בע""מ",513544221,2010-09-01,2127,16,0,0,0,companies_general_info_columns,0,0,0,,0,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,true,,false,false,,,0,0,,,,,,,,,Local Business,Local Business,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",forceliquidated,239636382809100,"פולי דקור בע""מ עבודות עץ/נגרות","פולי עץ בע""מ",510421886,1989-03-21,9961,23,0,0,0,companies_general_info_columns,1,0,0,"0546262901 - ולדמיר ",1,,0,65,0,1,1,0,0,0,1,1,0,0,0,0,0,false,,false,false,,,0,1,402,63,77,14,254,41,,,Industrials,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2012-05-15 07:55:34,2012-09-01 05:03:00,1,0,0,0,0.0,0,0,,4,362,19,16,1,0,1,1,0,0,354,5,0,2,1,0,0,0,0,0,0,0,0,companies_posts_columns,2016-06-28 14:24:27.622,595,-9366,2012-05-15 09:07:31,2014-11-11 08:25:05,5,24,0,24,0,24,0,24,24,0,24,0,24,24,0,24,0,24,0,0,0,0.0,45,0,4,1.875,24,0,0,0,0,0,0,0,0.0,0,0,0,0.0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,2012-05-15 09:07:31,2014-11-11 08:25:05,13,24,12,0,0,0,0,0,0,0
3,liquidated,240260446127543,אחוזת צביאלי ️,אחוזת צביאלי בעמ,510061864,1999-06-11,6227,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"",liquidated,241151389333626,בדרך הביתה מ א.ל.שרותי תדלוק,"א.מ. שרותי תדלוק בע""מ",511824922,1999-06-11,6227,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,2016-06-28 14:24:27.622,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
